category,pattern_count,total_frequency,avg_repo_count
CONTROL_FLOW,35553,4149005,5.62
DATA_FETCHING,834,462964,6.36
FUNCTION_DEFINITIONS,333,439335,6.05
EXPRESSIONS,3451,288333,4.73
TEST_PATTERNS,1913,186013,4.82
ARRAY_OPERATIONS,965,79168,5.83
STATE_MANAGEMENT,503,62280,6.19
ERROR_HANDLING,867,59924,4.98
OBJECT_OPERATIONS,321,53782,10.43
FUNCTION_CALLS,373,50839,5.99
ASYNC_OPERATIONS,381,38586,7.41
DOM_MANIPULATION,346,34487,8.0
REACT_PATTERNS,194,32704,7.22
OTHER,104,2799,3.4
VARIABLE_DECLARATIONS,90,2028,4.07
DECLARATIONS,2,30,3.0
